company,open,High,Low,close,change,Trades,Volume,Date
ZENITHBANK,25,25,24.75,24.8,-0.15,400,"44,036,896",2021-01-01
ZENITHBANK,24.8,26,25.7,25.7,0.9,325,"8,773,419",2021-01-04
ZENITHBANK,25.7,25.7,24.5,24.6,-1.1,537,"31,707,817",2021-01-05
ZENITHBANK,24.6,25.1,24.6,25.1,0.5,383,"12,531,411",2021-01-06
ZENITHBANK,25.1,25.45,25.1,25.3,0.2,313,"12,977,161",2021-01-07
ZENITHBANK,25.3,25.75,25.3,25.65,0.35,362,"23,692,399",2021-01-08
ZENITHBANK,25.65,25.9,25.65,25.85,0.2,426,"13,360,081",2021-01-11
ZENITHBANK,25.85,25.85,25.55,25.8,-0.05,377,"16,544,171",2021-01-12
ZENITHBANK,25.8,26,25.7,25.9,0.1,486,"45,772,768",2021-01-13
ZENITHBANK,25.9,26.5,26,26.4,0.5,464,"42,813,568",2021-01-14
ZENITHBANK,26.4,26.8,26.3,26.3,-0.1,486,"36,265,546",2021-01-15
ZENITHBANK,26.55,26.55,25.9,26.15,-0.15,508,"31,380,944",2021-01-18
ZENITHBANK,26.15,26.5,26.1,26.2,0.05,382,"28,524,941",2021-01-19
ZENITHBANK,26.2,26.3,26,26.3,0.1,350,"13,825,138",2021-01-20
ZENITHBANK,26.3,26.5,26.2,26.45,0.15,399,"26,790,148",2021-01-21
ZENITHBANK,26.45,26.5,26.4,26.5,0.05,375,"25,712,332",2021-01-22
ZENITHBANK,26.5,26.55,26.25,26.5,0,423,"15,871,012",2021-01-25
ZENITHBANK,26.5,26.35,26.2,26.25,-0.25,388,"19,064,914",2021-01-26
ZENITHBANK,26.25,26.5,26.25,26.4,0.15,511,"47,161,593",2021-01-27
ZENITHBANK,26.4,27.3,26.35,27.2,0.8,442,"35,226,308",2021-01-28
ZENITHBANK,27,27.5,27,27.2,0,559,"44,956,083",2021-01-29
ZENITHBANK,27.2,27.35,27.1,27.15,-0.05,473,"31,523,081",2021-02-01
ZENITHBANK,27.15,27.2,26.3,26.3,-0.85,655,"38,576,459",2021-02-02
ZENITHBANK,26.3,26.95,26.25,26.95,0.65,443,"31,504,267",2021-02-03
ZENITHBANK,26.95,26.9,26.45,26.75,-0.2,375,"29,539,683",2021-02-04
ZENITHBANK,26.5,26.5,25.65,26,-0.75,660,"52,779,654",2021-02-05
ZENITHBANK,26,26.1,25.95,26,0,398,"14,166,272",2021-02-08
ZENITHBANK,26,26.05,25.8,25.8,-0.2,445,"25,075,154",2021-02-09
ZENITHBANK,25.8,25.7,25,25,-0.8,527,"43,741,847",2021-02-10
ZENITHBANK,25,24.8,22.8,24.8,-0.2,570,"37,104,685",2021-02-11
ZENITHBANK,24.8,25,24.55,25,0.2,550,"55,601,870",2021-02-12
ZENITHBANK,25,25.15,25,25.15,0.15,416,"21,506,398",2021-02-15
ZENITHBANK,25.15,25.35,25,25,-0.15,515,"25,992,467",2021-02-16
ZENITHBANK,25,25.3,24.9,25,0,326,"13,978,034",2021-02-17
ZENITHBANK,25,25,23.9,24.1,-0.9,624,"37,737,353",2021-02-18ZENITHBANK,24.1,24.75,24.4,24.7,0.6,430,"17,575,227",2021-02-19
ZENITHBANK,24.7,25,24.75,24.8,0.1,424,"21,749,034",2021-02-22ZENITHBANK,26.15,26.75,26.1,26.3,0.3,1013,"154,621,114",2021-02-24
ZENITHBANK,26.3,26.2,25.85,25.85,-0.45,566,"24,565,646",2021-02-25
ZENITHBANK,25.9,25.9,25.3,25.45,-0.4,555,"26,612,902",2021-02-26
ZENITHBANK,25.45,25.85,25.45,25.8,0.35,530,"20,619,706",2021-03-01
ZENITHBANK,25.8,25.85,25.5,25.65,-0.15,679,"48,101,970",2021-03-02
ZENITHBANK,25.65,25.75,25.55,25.55,-0.1,635,"41,382,080",2021-03-03
ZENITHBANK,25.55,25.65,25.3,25.3,-0.25,693,"38,647,711",2021-03-04
ZENITHBANK,25.3,25.4,24.95,25.3,0,833,"46,851,288",2021-03-05
ZENITHBANK,22.2,22.2,21.1,21.75,-0.45,608,"35,766,490",2021-03-09
ZENITHBANK,21.75,21.95,21.75,21.75,0,394,"12,132,503",2021-03-10
ZENITHBANK,21.75,21.75,21.4,21.45,-0.3,431,"11,495,379",2021-03-11
ZENITHBANK,21.45,21.5,21.3,21.35,-0.1,335,"10,470,232",2021-03-12
ZENITHBANK,21.35,21.4,21.15,21.2,-0.15,324,"7,671,783",2021-03-15
ZENITHBANK,21.2,21.15,20.3,20.3,-0.9,557,"15,186,178",2021-03-16
ZENITHBANK,20.3,20.6,19.5,20.5,0.2,766,"28,448,895",2021-03-17
ZENITHBANK,20.5,22,20.55,22,1.5,664,"32,840,707",2021-03-18
ZENITHBANK,22,22.7,22.1,22.5,0.5,683,"66,099,533",2021-03-19
ZENITHBANK,22.5,22.6,22.4,22.5,0,500,"25,002,755",2021-03-22
ZENITHBANK,22.5,22.5,21.95,22,-0.5,534,"22,534,634",2021-03-23
ZENITHBANK,22,22.05,21.95,22,0,405,"16,674,931",2021-03-24
